"family","taxon","author"
"Picrodendraceae","Austrobuxus rubiginosus","(Guillaumin) Airy Shaw"
"Picrodendraceae","Austrobuxus vieillardii","(Guillaumin) Airy Shaw"
"Picrodendraceae","Scagea depauperata","(Baill.) McPherson"
"Pittosporaceae","Pittosporum aliferum","Tirel & Veillon"
"Pittosporaceae","Pittosporum artense","Guillaumin"
"Pittosporaceae","Pittosporum bouletii","Veillon & Tirel"
"Pittosporaceae","Pittosporum brevispinum","Veillon & Tirel"
"Pittosporaceae","Pittosporum cherrieri","Tirel & Veillon"
"Pittosporaceae","Pittosporum coccineum","(Montr.) Beauvis."
"Pittosporaceae","Pittosporum collinum","Guillaumin"
"Pittosporaceae","Pittosporum deplanchei","Brongn. & Gris"
"Pittosporaceae","Pittosporum dzumacense","Guillaumin"
"Pittosporaceae","Pittosporum gatopense","Guillaumin"
"Pittosporaceae","Pittosporum gracile","Pancher ex Brongn. & Gris"
"Pittosporaceae","Pittosporum heckelii","Dubard"
"Pittosporaceae","Pittosporum hematomallum","Guillaumin"
"Pittosporaceae","Pittosporum leratii","Guillaumin"
"Pittosporaceae","Pittosporum letocartiorum","Veillon & Tirel"
"Pittosporaceae","Pittosporum mackeei","Tirel & Veillon"
"Pittosporaceae","Pittosporum malaxanii","Veillon & Tirel"
"Pittosporaceae","Pittosporum muricatum","Tirel & Veillon"
"Pittosporaceae","Pittosporum obovatum","Guillaumin"
"Pittosporaceae","Pittosporum oreophilum","Guillaumin"
"Pittosporaceae","Pittosporum ornatum","Tirel & Veillon"
"Pittosporaceae","Pittosporum oubatchense","Schltr."
"Pittosporaceae","Pittosporum pancheri","Brongn. & Gris"
"Pittosporaceae","Pittosporum paniense","Guillaumin"
"Pittosporaceae","Pittosporum poueboense","Guillaumin"
"Pittosporaceae","Pittosporum poumense","Guillaumin"
"Pittosporaceae","Pittosporum pronyense","Guillaumin"
"Pittosporaceae","Pittosporum scythophyllum","Schltr."
"Pittosporaceae","Pittosporum simsonii","Montrouz."
"Pittosporaceae","Pittosporum sylvaticum","Guillaumin"
"Pittosporaceae","Pittosporum tanianum","Veillon & Tirel"
"Pittosporaceae","Pittosporum verrucosum","Veillon & Tirel"
"Pittosporaceae","Pittosporum xanthanthum","Schltr."
"Podocarpaceae","Acmopyle pancheri","(Brongn. & Gris) Pilg."
"Podocarpaceae","Dacrycarpus vieillardii","(Parl.) de Laub."
"Podocarpaceae","Dacrydium araucarioides","Brongn. & Gris"
"Podocarpaceae","Dacrydium balansae","Brongn. & Gris"
"Podocarpaceae","Dacrydium guillauminii","J.Buchholz"
"Podocarpaceae","Dacrydium lycopodioides","Brongn. & Gris"
"Podocarpaceae","Falcatifolium taxoides","(Brongn. & Gris) de Laub."
"Podocarpaceae","Podocarpus longifoliolatus","Pilg."
"Podocarpaceae","Podocarpus lucienii","de Laub."
"Podocarpaceae","Podocarpus polyspermus","de Laub."
"Podocarpaceae","Podocarpus sylvestris","J.Buchholz"
"Podocarpaceae","Prumnopitys ferruginoides","(Compton) de Laub."
"Podocarpaceae","Retrophyllum comptonii","(J.Buchholz) C.N.Page"
"Podocarpaceae","Retrophyllum minus","(Carrière) C.N.Page"
"Primulaceae","Myrsine arborea","(M.Schmid) Ricketson & Pipoly"
"Primulaceae","Myrsine asymmetrica","(Mez) Ricketson & Pipoly"
"Primulaceae","Myrsine citrifolia","(Mez) Ricketson & Pipoly"
"Primulaceae","Myrsine diminuta","(Mez) Ricketson & Pipoly"
"Primulaceae","Myrsine discocarpa","(M.Schmid) Ricketson & Pipoly"
"Primulaceae","Myrsine lecardii","(Mez) Ricketson & Pipoly"
"Primulaceae","Myrsine memaoyaensis","(M.Schmid) Ricketson & Pipoly"
"Primulaceae","Myrsine modesta","(Mez) Ricketson & Pipoly"
"Primulaceae","Myrsine novocaledonica","(Mez) Ricketson & Pipoly"
"Primulaceae","Myrsine oblanceolata","(M.Schmid) Ricketson & Pipoly"
"Primulaceae","Myrsine ovicarpa","(M.Schmidt) Ricketson & Pipoly"
"Primulaceae","Myrsine parvicarpa","(M.Schmid) Ricketson & Pipoly"
"Primulaceae","Tapeinosperma campanula","Mez"
"Primulaceae","Tapeinosperma deflexum","Mez"
"Primulaceae","Tapeinosperma glandulosum","Guillaumin"
"Primulaceae","Tapeinosperma gracile","Mez"
"Primulaceae","Tapeinosperma minutum","Mez"
"Primulaceae","Tapeinosperma nectandroides","Mez"
"Primulaceae","Tapeinosperma nitidum","Mez"
"Primulaceae","Tapeinosperma oblongifolium","Mez"
"Primulaceae","Tapeinosperma pancheri","Mez"
"Primulaceae","Tapeinosperma poueboense","M. Schmid"
"Primulaceae","Tapeinosperma robustum","Mez"
"Primulaceae","Tapeinosperma rubidum","Mez"
"Primulaceae","Tapeinosperma vestitum","Mez"
"Primulaceae","Tapeinosperma vieillardii","Hook.f."
"Primulaceae","Tapeinosperma wagapense","Mez"
"Proteaceae","Beauprea asplenioides","Schltr."
"Proteaceae","Beauprea balansae","Brongn. & Gris"
"Proteaceae","Beauprea comptonii","S.Moore"
"Proteaceae","Beauprea filipes","Schltr."
"Proteaceae","Beauprea spathulifolia","Brongn. & Gris"
"Proteaceae","Garnieria spathulifolia","Brongn. & Gris"
"Proteaceae","Grevillea deplanchei","Brongn. & Gris"
"Proteaceae","Grevillea exul","Lindl."
"Proteaceae","Grevillea gillivrayi","Hook."
"Proteaceae","Grevillea meisneri","Montrouz."
"Proteaceae","Grevillea vuniana","Pillon"
"Proteaceae","Kermadecia brinoniae","H.C.Hopkins & Pillon"
"Proteaceae","Kermadecia pronyensis","(Guillaumin) Guillaumin"
"Proteaceae","Kermadecia rotundifolia","Brongn. & Gris"
"Proteaceae","Kermadecia sinuata","Brongn. & Gris"
"Proteaceae","Knightia deplanchei","Vieill. ex Brongn. & Gris"
"Proteaceae","Knightia strobilina","(Labill.) Virot"
"Proteaceae","Sleumerodendron austrocaledonicum","(Brongn. & Gris) Virot"
"Proteaceae","Stenocarpus comptonii","S.Moore"
"Proteaceae","Stenocarpus dumbeensis","Guillaumin"
"Proteaceae","Stenocarpus heterophyllus","Brongn. & Gris"
"Proteaceae","Stenocarpus milnei","Hook."
"Proteaceae","Stenocarpus tremuloides","Brongn. & Gris"
"Proteaceae","Stenocarpus trinervis","(Montrouz.) Guillaumin"
"Proteaceae","Stenocarpus umbelliferus","(J.R.Forst. & G.Forst.) Druce"
"Proteaceae","Stenocarpus villosus","Brongn. & Gris"
"Proteaceae","Virotia francii","(Guill.) P.H.Weston & A.R.Mast"
"Proteaceae","Virotia leptophylla","(Guillaumin) L.A.S. Johnson & B.G.Briggs"
"Proteaceae","Virotia neurophylla","(Guillaumin) P.H.Weston & A.R.Mast"
"Proteaceae","Virotia rousselii","(Vieill.) P.H. Weston & A.R. Mast"
"Proteaceae","Virotia vieillardii","(Brongn. & Gris) P.H.Weston & A.R.Mast"
"Putranjivaceae","Drypetes deplanchei","(Brongn. & Gris) Merr."
"Rhamnaceae","Alphitonia erubescens","Baill."
"Rhamnaceae","Emmenosperma pancherianum","Baill."
"Rhamnaceae","Jaffrea xerocarpa","(Baill.) H.C.Hopkins & Pillon"
"Rhamnaceae","Rhamnella vitiensis","(Benth.) A.C.Sm."
"Rhizophoraceae","Bruguiera gymnorhiza","(L.) Lam."
"Rhizophoraceae","Ceriops tagal","(Perr.) C.B.Rob."
"Rhizophoraceae","Crossostylis grandiflora","Brongn. & Gris"
"Rhizophoraceae","Crossostylis multiflora","Brongn. & Gris ex Pancher & Sebert"
"Rhizophoraceae","Crossostylis sebertii","Pancher ex Brongn. & Gris"
"Rhizophoraceae","Rhizophora apiculata","Blume"
"Rhizophoraceae","Rhizophora samoensis","(Hochr.) Salvoza"
"Rhizophoraceae","Rhizophora stylosa","Griff."
"Rubiaceae","Aidia congesta","(Schltr. & K.Krause) Ridsdale"
"Rubiaceae","Aidia vieillardii","(Baill.) Ridsdale"
"Rubiaceae","Atractocarpus bracteatus","Schltr. & K.Krause"
"Rubiaceae","Atractocarpus heterophyllus","(Montrouz.) Guillaumin & Beauvis."
"Rubiaceae","Atractocarpus pterocarpon","(Guillaumin) Puttock"
"Rubiaceae","Bikkia pancheri","(Brongn.) Guillaumin"
"Rubiaceae","Coelospermum fragrans","(Montrouz.) Baill. ex Guillaumin"
"Rubiaceae","Cyclophyllum merrillianum","Guillaumin"
"Rubiaceae","Cyclophyllum tenuipes","Guillaumin"
"Rubiaceae","Eumachia collina","(Labill.) Barrabé, C.M.Taylor & Razafim."
"Rubiaceae","Gardenia aubryi","Vieill."
"Rubiaceae","Gardenia colnettiana","Guillaumin"
"Rubiaceae","Gardenia mollis","Schltr."
"Rubiaceae","Gardenia oudiepe","Vieill."
"Rubiaceae","Guettarda artensis","Guillaumin"
"Rubiaceae","Guettarda baladensis","Guillaumin"
"Rubiaceae","Guettarda fusca","Pancher ex Baill."
"Rubiaceae","Guettarda glabrescens","(Schltr.) Guillaumin "
"Rubiaceae","Guettarda heterosepala","Guillaumin"
"Rubiaceae","Guettarda humboldtensis","Guillaumin"
"Rubiaceae","Guettarda hypolasia","Baill."
"Rubiaceae","Guettarda mephitica","Guillaumin"
"Rubiaceae","Guettarda ngoyensis","Schltr."
"Rubiaceae","Guettarda speciosa","L."
"Rubiaceae","Guettarda splendens","Baill."
"Rubiaceae","Guettarda trimera","Guillaumin"
"Rubiaceae","Guettarda vieillardii","Guillaumin"
"Rubiaceae","Guettarda wagapensis","Guillaumin"
"Rubiaceae","Guettardella ioensis","(Baill.) J.G.Chavez"
"Rubiaceae","Guettardella rhamnoides","(Baill.) J.G.Chavez"
"Rubiaceae","Gynochthodes decipiens","(Schltr.) Razafim. & B.Bremer"
"Rubiaceae","Ixora cauliflora","Montrouz."
"Rubiaceae","Ixora collina","(Montrouz.) Beauvis."
"Rubiaceae","Ixora comptonii","S.Moore"
"Rubiaceae","Ixora francii","Schltr. & K.Krause"
"Rubiaceae","Ixora margaretae","(N.Hallé) Mouly & B.Bremer"
"Rubiaceae","Ixora oligantha","Schltr. & K.Krause"
"Rubiaceae","Normandia neocaledonica","Hook.f."
"Rubiaceae","Pavetta opulina","(G.Forst.) DC."
"Rubiaceae","Psychotria ammericola","Guillaumin"
"Rubiaceae","Psychotria calothyrsa","(Baill.) Guillaumin"
"Rubiaceae","Psychotria canalensis","(Baill.) Guillaumin"
"Rubiaceae","Psychotria roseotincta","S.Moore"
"Rubiaceae","Psychotria schlechteriana","K.Krause"
"Rubiaceae","Psydrax odorata","(G.Forst.) A.C.Sm. & S.P.Darwin"
"Rubiaceae","Psydrax paradoxus","(Virot) Mouly"
"Rubiaceae","Randia nigricans","Schltr."
"Rubiaceae","Randia pseudoterminalis","Guillaumin"
"Rubiaceae","Randia sezitat","Guillaumin"
"Rubiaceae","Scyphiphora hydrophylacea","C.F.Gaertn."
"Rubiaceae","Tarenna sambucina","(G.Forst.) T.Durand ex Drake"
"Rubiaceae","Thiollierea lenormandii","(N.Hallé & Jérémie) Barrabé & Mouly"
"Rubiaceae","Thiollierea macrophylla","(Brongn.) Baum.-Bod."
"Rubiaceae","Thiollierea montana","(Vieill.) Paudyal & Delprete"
"Rubiaceae","Thiollierea pachyphylla","(Guillaumin) Barrabé & Mouly"
"Rubiaceae","Thiollierea rigaultii","Barrabé & Mouly"
"Rubiaceae","Timonius platycarpus","Montrouz."
"Rubiaceae","Tinadendron kajewskii","(Guillaumin) Achille"
"Rubiaceae","Tinadendron noumeanum","(Baill.) Achille"
"Rutaceae","Acronychia laevis","J.R.Forst. & G.Forst."
"Rutaceae","Citrus neocaledonica","Guillaumin"
"Rutaceae","Citrus oxanthera","Beauvis."
"Rutaceae","Citrus undulata","Guillaumin"
"Rutaceae","Comptonella baudouinii","(Baill.) T.G.Hartley"
"Rutaceae","Comptonella drupacea","(Labill.) Guillaumin"
"Rutaceae","Comptonella lactea","(Baker f.) T.G.Hartley"
"Rutaceae","Comptonella microcarpa","(G.Perkins) T.G.Hartley"
"Rutaceae","Comptonella oreophila","(Guillaumin) T.G.Hartley"
"Rutaceae","Comptonella sessilifoliola","(Guillaumin) T.G.Hartley"
"Rutaceae","Crossosperma cauliflora","T.G.Hartley"
"Rutaceae","Crossosperma velutina","(Guillaumin) T.G.Hartley"
"Rutaceae","Dutailliopsis gordonii","T.G.Hartley"
"Rutaceae","Dutaillyea amosensis","(Guillaumin) T.G.Hartley"
"Rutaceae","Dutaillyea trifoliolata","Baill."
"Rutaceae","Flindersia fournieri","Pancher & Sebert"
"Rutaceae","Geijera balansae","(Baill.) Schinz & Guillaumin"
"Rutaceae","Geijera salicifolia","Schott"
"Rutaceae","Halfordia kendack","Guillaumin"
"Rutaceae","Melicope lasioneura","Baill. ex Guillaumin"
"Rutaceae","Melicope triphylla","(Lam.) Merr."
"Rutaceae","Melicope vieillardii","Baill. ex Guillaumin"
"Rutaceae","Micromelum minutum","(G.Forst.) Wight & Arn."
"Rutaceae","Murraya crenulata","(Turcz.) Oliv."
"Rutaceae","Myrtopsis myrtoidea","(Baill.) Guillaumin"
"Rutaceae","Oxanthera brevipes","B.C.Stone"
"Rutaceae","Picrella glandulosa","T.G.Hartley"
"Rutaceae","Picrella ignambiensis","(Guillaumin) T.G.Hartley & Mabb."
"Rutaceae","Picrella trifoliata","Baill."
"Rutaceae","Sarcomelicope argyrophylla","Guillaumin"
"Rutaceae","Sarcomelicope follicularis","T.G.Hartley"
"Rutaceae","Sarcomelicope glauca","T.G.Hartley"
"Rutaceae","Sarcomelicope leiocarpa","(P.S.Green) T.G.Hartley"
"Rutaceae","Sarcomelicope simplicifolia","(Endl.) T.G.Hartley"
"Rutaceae","Zanthoxylum albiflorum","Baker f."
"Rutaceae","Zanthoxylum neocaledonicum","Baker f."
"Rutaceae","Zanthoxylum sarasinii","Guillaumin"
"Rutaceae","Zanthoxylum schlechteri","Guillaumin"
"Salicaceae","Casearia deplanchei","Sleumer"
"Salicaceae","Casearia kaalaensis","Lescot & Sleumer"
"Salicaceae","Casearia puberula","Guillaumin"
"Salicaceae","Homalium austrocaledonicum","Seem."
"Salicaceae","Homalium betulifolium","Däniker"
"Salicaceae","Homalium buxifolium","Däniker"
"Salicaceae","Homalium decurrens","Briq."
"Salicaceae","Homalium deplanchei","Warb."
"Salicaceae","Homalium francii","Guillaumin"
"Salicaceae","Homalium guillainii","Briq."
"Salicaceae","Homalium intermedium","Briq."
"Salicaceae","Homalium leratiorum","Guillaumin"
"Salicaceae","Homalium mathieuanum","(Vieill.) Briq."
"Salicaceae","Homalium polystachyum","(Vieill.) Briq."
"Salicaceae","Homalium rubiginosum","(Vieill.) Warb."
"Salicaceae","Homalium serratum","Guillaumin"
"Salicaceae","Homalium sleumerianum","Lescot"
"Salicaceae","Xylosma capillipes","Guillaumin"
"Salicaceae","Xylosma cordifolia","(Sleumer) Pillon"
"Salicaceae","Xylosma grossecrenata","(Sleumer) Lescot"
"Salicaceae","Xylosma guillauminii","Sleumer"
"Salicaceae","Xylosma kaalaensis","Sleumer"
"Salicaceae","Xylosma koghiensis","Guillaumin"
"Salicaceae","Xylosma lifuana","Guillaumin"
"Salicaceae","Xylosma mandjeliana","(Sleumer) Pillon"
"Salicaceae","Xylosma molesta","Sleumer"
"Salicaceae","Xylosma peltata","(Sleumer) Lescot"
"Salicaceae","Xylosma planchonellifolia","Guillaumin"
"Salicaceae","Xylosma pseudocoriacea","(Sleumer) Pillon"
"Salicaceae","Xylosma reticulata","(Schltr.) Pillon"
"Salicaceae","Xylosma rivularis","(Sleumer) Pillon"
"Salicaceae","Xylosma serpentina","Sleumer"
"Salicaceae","Xylosma trichostemona","Guillaumin"
"Salicaceae","Xylosma vincentii","Guillaumin"
"Santalaceae","Amphorogyne celastroides","Stauffer & Hürl."
"Santalaceae","Amphorogyne spicata","Stauffer & Hürl."
"Santalaceae","Amphorogyne staufferi","Markgr. ex Stauffer"
"Santalaceae","Exocarpos clavatus","Stauffer"
"Santalaceae","Exocarpos neocaledonicus","Schltr. & Pilg."
"Santalaceae","Exocarpos phyllanthoides","Endl."
"Santalaceae","Santalum austrocaledonicum","Vieill."
"Sapindaceae","Alectryon carinatus","Radlk."
"Sapindaceae","Cossinia trifoliata","(Baill.) Radlk."
"Sapindaceae","Cupaniopsis apiocarpa","Radlk."
"Sapindaceae","Cupaniopsis azantha","Radlk."
"Sapindaceae","Cupaniopsis chytradenia","Radlk."
"Sapindaceae","Cupaniopsis crassivalvis","Radlk."
"Sapindaceae","Cupaniopsis fruticosa","Radlk."
"Sapindaceae","Cupaniopsis glabra","Adema"
"Sapindaceae","Cupaniopsis globosa","Adema"
"Sapindaceae","Cupaniopsis glomeriflora","Radlk."
"Sapindaceae","Cupaniopsis grandiflora","Adema"
"Sapindaceae","Cupaniopsis grisea","Adema"
"Sapindaceae","Cupaniopsis hypodermatica","Radlk."
"Sapindaceae","Cupaniopsis inoplea","Radlk."
"Sapindaceae","Cupaniopsis mackeeana","Adema"
"Sapindaceae","Cupaniopsis macrocarpa","Radlk."
"Sapindaceae","Cupaniopsis megalocarpa","Adema"
"Sapindaceae","Cupaniopsis mouana","Guillaumin"
"Sapindaceae","Cupaniopsis myrmoctona","Radlk."
"Sapindaceae","Cupaniopsis oedipoda","Radlk."
"Sapindaceae","Cupaniopsis pennelii","Guillaumin"
"Sapindaceae","Cupaniopsis petiolulata","Radlk."
"Sapindaceae","Cupaniopsis phalacrocarpa","Adema"
"Sapindaceae","Cupaniopsis rosea","Adema"
"Sapindaceae","Cupaniopsis squamosa","Adema"
"Sapindaceae","Cupaniopsis subfalcata","Adema"
"Sapindaceae","Cupaniopsis sylvatica","Guillaumin"
"Sapindaceae","Cupaniopsis tontoutensis","Guillaumin"
"Sapindaceae","Cupaniopsis trigonocarpa","Radlk."
"Sapindaceae","Dodonaea viscosa","(L.) Jacq."
"Sapindaceae","Elattostachys apetala","(Labill.) Radlk."
"Sapindaceae","Elattostachys dzumacensis","Adema"
"Sapindaceae","Elattostachys incisa","Radlk."
"Sapindaceae","Gongrodiscus bilocularis","H.Turner"
"Sapindaceae","Gongrodiscus parvifolius","Radlk."
"Sapindaceae","Gongrodiscus sufferrugineus","Radlk."
"Sapindaceae","Guioa crenata","Radlk."
"Sapindaceae","Guioa crenulata","Radlk."
"Sapindaceae","Guioa glauca","(Labill.) Radlk."
"Sapindaceae","Guioa microsepala","Radlk."
"Sapindaceae","Guioa ovalis","Radlk."
"Sapindaceae","Guioa pectinata","Radlk."
"Sapindaceae","Guioa villosa","Radlk."
"Sapindaceae","Harpullia austrocaledonica","Baill."
"Sapindaceae","Lepidocupania arcuata","(Radlk.) Buerki, Callm., Munzinger & Lowry"
"Sapindaceae","Lepidocupania gracilipes","(Radlk.) Buerki, Callm., Munzinger & Lowry"
"Sapindaceae","Lepidocupania lepidota","(Radlk.) Buerki, Callm., Munzinger & Lowry"
"Sapindaceae","Neoarytera chartacea","(Radlk.) Callm., Buerki, Munzinger & Lowry"
"Sapindaceae","Neoarytera collina","(Pancher & Sebert) Callm., Buerki, Munzinger & Lowry"
"Sapindaceae","Neoarytera nekorensis","(H.Turner) Callm., Buerki, Munzinger & Lowry"
"Sapindaceae","Neoarytera neoebudensis","(Guillaumin) Callm., Buerki, Munzinger & Lowry"
"Sapindaceae","Podonephelium concolor","Radlk."
"Sapindaceae","Podonephelium cristagalli","Munzinger, Lowry, Callm. & Buerki"
"Sapindaceae","Podonephelium davidsonii","Munzinger , Lowry , Callm. & Buerki"
"Sapindaceae","Podonephelium gongrocarpum","(Radlk ) Munzinger, Lowry, Callm. & Buerki"
"Sapindaceae","Podonephelium homei","(Seem.) Radlk"
"Sapindaceae","Podonephelium pachycaule","Munzinger, Lowry, Callm. & Buerki"
"Sapindaceae","Podonephelium parvifolium","Radlk."
"Sapindaceae","Podonephelium plicatum","Munzinger, Lowry , Callm. & Buerki"
"Sapindaceae","Podonephelium subaequilaterum","Radlk."
"Sapindaceae","Storthocalyx chryseus","Radlk."
"Sapindaceae","Storthocalyx corymbosus","Munzinger, Lowry, Buerki & Callm."
"Sapindaceae","Storthocalyx leioneurus","Radlk."
"Sapindaceae","Storthocalyx sordidus","Radlk."
"Sapotaceae","Manilkara dissecta","(L.f.) Dubard"
"Sapotaceae","Mimusops elengi","L."
"Sapotaceae","Pichonia balansae","(Baehni) Swenson & Munzinger"
"Sapotaceae","Pichonia balansana","Pierre"
"Sapotaceae","Pichonia daenikeri","(Aubrév.) Swenson, Bartish & Munzinger"
"Sapotaceae","Pichonia deplanchei","(Baill.) Swenson & Munzinger"
"Sapotaceae","Pichonia dubia","(Pierre ex Guillaumin) Swenson & Munzinger"
"Sapotaceae","Pichonia grandiflora","Swenson & Munzinger"
"Sapotaceae","Pichonia lecomtei","(Guillaumin) T.D.Penn."
"Sapotaceae","Planchonella amieuana","(Guillaumin) Aubrév."
"Sapotaceae","Planchonella cauliflora","Munzinger & Swenson"
"Sapotaceae","Planchonella chartacea","(F.Muell. ex Benth.) H.J.Lam"
"Sapotaceae","Planchonella cinerea","(Pancher ex Baill.) P.Royen"
"Sapotaceae","Planchonella contermina","Pierre ex Dubard"
"Sapotaceae","Planchonella dothioensis","(Aubrév.) Swenson, Bartish & Munzinger"
"Sapotaceae","Planchonella endlicheri","(Montrouz.) Guillaumin"
"Sapotaceae","Planchonella glauca","Swenson & Munzinger"
"Sapotaceae","Planchonella kaalaensis","Aubrév."
"Sapotaceae","Planchonella kuebiniensis","Aubrév."
"Sapotaceae","Planchonella laetevirens","(Baill.) Pierre ex Dubard"
"Sapotaceae","Planchonella latihila","Munzinger & Swenson"
"Sapotaceae","Planchonella lifuana","(Baill.) Pierre ex Dubard"
"Sapotaceae","Planchonella luteocostata","Munzinger & Swenson"
"Sapotaceae","Planchonella mandjeliana","Munzinger & Swenson"
"Sapotaceae","Planchonella microphylla","Pierre ex Dubard"
"Sapotaceae","Planchonella pinifolia","(Baill.) Dubard"
"Sapotaceae","Planchonella povilana","Swenson & Munzinger"
"Sapotaceae","Planchonella rheophytopsis","P.Royen"
"Sapotaceae","Planchonella roseoloba","Munzinger & Swenson"
"Sapotaceae","Planchonella rufocostata","Munzinger & Swenson"
"Sapotaceae","Planchonella sphaerocarpa","(Baill.) Dubard"
"Sapotaceae","Planchonella thiensis","Aubrév."
"Sapotaceae","Planchonella wakere","(Pancher & Sebert) Pierre"
"Sapotaceae","Pleioluma acutifolia","Swenson & Munzinger"
"Sapotaceae","Pleioluma azou","(P.Royen) Swenson & Munzinger"
"Sapotaceae","Pleioluma balansana","(Pierre ex Baill.) Swenson & Munzinger"
"Sapotaceae","Pleioluma baueri","(Montrouz.) Swenson & Munzinger"
"Sapotaceae","Pleioluma belepensis","Swenson & Munzinger"
"Sapotaceae","Pleioluma crebrifolia","(Baill.) Swenson & Munzinger"
"Sapotaceae","Pleioluma dioica","Swenson & Munzinger"
"Sapotaceae","Pleioluma lasiantha","(Baill.) Swenson & Munzinger"
"Sapotaceae","Pleioluma longipetiolata","(Aubrév.) Swenson & Munzinger"
"Sapotaceae","Pleioluma novocaledonica","(Dubard) Swenson & Munzinger"
"Sapotaceae","Pleioluma rubicunda","(Pierre ex Baill.) Swenson & Munzinger"
"Sapotaceae","Pleioluma sebertii","(Pancher) Swenson & Munzinger"
"Sapotaceae","Pleioluma tenuipedicellata","Swenson & Munzinger"
"Sapotaceae","Pleioluma vieillardii","(Baill.) Swenson & Munzinger"
"Sapotaceae","Pycnandra acuminata","(Pierre ex Baill.) Swenson & Munzinger"
"Sapotaceae","Pycnandra atrofusca","Swenson & Munzinger"
"Sapotaceae","Pycnandra balansae","(Baill.) Swenson & Munzinger"
"Sapotaceae","Pycnandra belepensis","Swenson & Munzinger"
"Sapotaceae","Pycnandra benthamii","Baill."
"Sapotaceae","Pycnandra blaffartii","Swenson & Munzinger"
"Sapotaceae","Pycnandra bourailensis","Swenson & Munzinger"
"Sapotaceae","Pycnandra bracteolata","Swenson & Munzinger"
"Sapotaceae","Pycnandra caeruleilatex","Swenson & Munzinger"
"Sapotaceae","Pycnandra canaliculata","Swenson & Munzinger"
"Sapotaceae","Pycnandra carinocostata","Vink"
"Sapotaceae","Pycnandra chartacea","Vink"
"Sapotaceae","Pycnandra comptonii","(S.Moore) Vink"
"Sapotaceae","Pycnandra comptonioides","Swenson & Munzinger"
"Sapotaceae","Pycnandra confusa","Swenson & Munzinger"
"Sapotaceae","Pycnandra controversa","(Guillaumin) Vink"
"Sapotaceae","Pycnandra cylindricarpa","Swenson & Munzinger"
"Sapotaceae","Pycnandra decandra","(Montrouz.) Vink"
"Sapotaceae","Pycnandra elliptica","Swenson & Munzinger"
"Sapotaceae","Pycnandra fastuosa","(Baill.) Vink"
"Sapotaceae","Pycnandra filipes","(Benth.) Munzinger & Swenson"
"Sapotaceae","Pycnandra francii","(Guillaumin & Dubard) Swenson & Munzinger"
"Sapotaceae","Pycnandra glabella","Swenson & Munzinger"
"Sapotaceae","Pycnandra glaberrima","Swenson & Munzinger"
"Sapotaceae","Pycnandra gordoniifolia","(S.Moore) Swenson & Munzinger"
"Sapotaceae","Pycnandra grandifolia","(Vink) Munzinger & Swenson"
"Sapotaceae","Pycnandra griseosepala","Vink"
"Sapotaceae","Pycnandra heteromera","(Vink) Swenson & Munzinger"
"Sapotaceae","Pycnandra kaalaensis","Aubrév."
"Sapotaceae","Pycnandra kouakouensis","Swenson & Munzinger"
"Sapotaceae","Pycnandra montana","Swenson & Munzinger"
"Sapotaceae","Pycnandra neocaledonica","(S.Moore) Vink"
"Sapotaceae","Pycnandra paniensis","Aubrév."
"Sapotaceae","Pycnandra paucinervia","Swenson & Munzinger"
"Sapotaceae","Pycnandra poindimiensis","Swenson & Munzinger"
"Sapotaceae","Pycnandra pubiflora","Swenson & Munzinger"
"Sapotaceae","Pycnandra sarlinii","(Aubrév.) Swenson & Munzinger"
"Sapotaceae","Pycnandra schmidii","(Aubrév.) Swenson & Munzinger"
"Sapotaceae","Pycnandra sclerophylla","Munzinger & Swenson"
"Sapotaceae","Pycnandra sessiliflora","Swenson & Munzinger"
"Sapotaceae","Pycnandra sessilifolia","(Pancher & Sebert) Swenson & Munzinger"
"Sapotaceae","Pycnandra vieillardii","(Baill.) Vink"
"Sapotaceae","Pycnandra viridiflora","Swenson & Munzinger"
"Sapotaceae","Pycnandra wagapensis","(Guillaumin) Munzinger & Swenson"
"Scrophulariaceae","Myoporum crassifolium","G.Forst."
"Scrophulariaceae","Myoporum tenuifolium","G.Forst."
"Simaroubaceae","Soulamea cardioptera","Baill."
"Solanaceae","Duboisia myoporoides","R.Br."
"Stemonuraceae","Gastrolepis austrocaledonica","(Baill.) R.A.Howard"
"Stemonuraceae","Stemonurus umbellatus","Becc."
"Strasburgeriaceae","Strasburgeria robusta","(Vieill. ex Panch. & Sebert) Guillaumin"
"Surianaceae","Suriana maritima","L."
"Symplocaceae","Symplocos arborea","Brongn. & Gris"
"Symplocaceae","Symplocos caerulescens","(Vieill.) Brongn. & Gris"
"Symplocaceae","Symplocos flavescens","Rusby"
"Symplocaceae","Symplocos montana","Brongn. & Gris"
"Symplocaceae","Symplocos neocaledonica","(Vieill.) Noot."
"Taxaceae","Austrotaxus spicata","Compton"
"Thymelaeaceae","Lethedon balansae","(Baill.) Kosterm."
"Thymelaeaceae","Lethedon cernua","(Baill.) Kosterm."
"Thymelaeaceae","Lethedon cordatoretusa","Aymonin"
"Thymelaeaceae","Lethedon leratii","(Guillaumin) Kosterm."
"Thymelaeaceae","Lethedon oblonga","(Schltr.) Kosterm."
"Thymelaeaceae","Solmsia calophylla","Baill."
"Trimeniaceae","Trimenia neocaledonica","Baker f."
"Urticaceae","Cypholophus decipiens","H.J.P.Winkl."
"Urticaceae","Dendrocnide latifolia","(Gaudich.) Chew"
